# -*- eval: (local-set-key (kbd "TAB") '(lambda () (interactive) (insert "\t"))) -*-
# Also contains adjective roots

# Genitive pronoun forms
rwmo	my/mine
ogje	thick (linear dimension)
ombu	full
inve	empty
durema	straight
ungikpe	flush
wabu	card
espuyi	royal, noble
anuva	high
yoxuka	long (length)
olcusa	pearl
saqwne	storm
ihro	Earth-blood
cwrza	ice
ixnu	tilt
tavro	ring
twipibne	dessert
omeze	exemplar, perfect
dwonga	heavy
hise	light, weightless
jaonga	dense
jufzove	recipe
pahi	flat
karoda	sum, total
tahlo	pan
jerada	vigor
tolorca	selective
eyosfe	tongue
pexa	adult
bilbi	whisk
amwlo	pound (unit)
sotwma	layer
zamgomu	tomato
rai	other
utarai	another
urarai	each other
qoqra	version, edition
exuri	soft
kirake	crisp (texture)
rwtxo	circle, round
rote	dish, plate
zezi	bubble
vomfe	sink (furniture)
zovalu	street
loba	spot
evave	mirror
dizpa	key
taklo	door
enxombu	wet
ofrwdu	towel
yojre	floor
tixroca	dream
ixopfe	wheel
nico	open
mezo	available
pagepu	luxury
gica	shoe
satipu	pebble
janari	heaven
hojoge	parallel
pevko	ray
hwvahsu	stable
avroxe	surprise, twist, shock
casute	chaste
wirdo	freak
okame	wire
ahrodi	scar
ulime	gas
umeriku	America
elmi	town
talke	peace
coce	war
timeya	leather
budje	president
okame	wire
ahrodi	scar
ulime	gas
calu	true, truth
ywri	false, lie
natho	word
natmwne	lexicon
sanato	letter
balotno	game
taftafe	game point
xekri	trivial, obvious
erge	loud
xaxu	quiet
zikpe	danger
namehe	fun
mwla	money
denaqva	row
bevaxva	column
vaxru	last
vere	corner

# astrological signs
wegso	aries
olijo	taurus
regdo	gemini
dikiso	cancer
semzo	leo
eyuvo	virgo
amlo	libra
reqwco	scorpio
cugaco	sagittarius
himlo	capricorn
idivo	aquarius
ipmeto	pisces


# Here are some words I like the sound of even if I don't have a use for them yet.
# (These are generated by script RNG, which is less likely to include my personal
#  biases about which phones are "fun".)

uja	???
mid'o	???
hepxo	???
noifrue	???
uce	???
izba	???
